user_id,rating,problems_solved,contests_participated,win_rate,avg_solve_time_min,favorite_tag
user_111,1202,11,32,0.528,18.4,greedy
user_112,1234,384,75,0.051,7.9,math
user_113,2537,302,20,0.81,14.5,binary search
user_114,1144,562,88,0.316,16.1,dp
user_115,1326,327,15,0.325,20.7,math
user_116,1199,511,48,0.63,14.5,math
user_117,853,390,71,0.607,33.2,greedy
user_118,1707,632,21,0.654,13.8,greedy
user_119,1518,23,42,0.798,25.2,graphs
user_120,1536,513,26,0.537,45.0,graphs
user_121,922,240,14,0.286,30.5,dp
user_122,1846,93,57,0.254,29.5,math
user_123,800,139,37,0.564,43.6,implementation
user_124,1445,752,58,0.563,37.5,trees
user_125,2338,154,21,0.33,30.7,dp
user_126,900,37,82,0.519,21.9,dp
user_127,1022,75,69,0.302,24.8,trees
user_128,1248,172,3,0.609,24.3,trees
user_129,1042,238,87,0.883,21.0,trees
user_130,800,270,90,0.237,27.1,greedy
user_131,1237,458,37,0.597,28.5,dp
user_132,881,433,88,0.501,12.6,dp
user_133,1396,469,49,0.589,41.3,binary search
user_134,919,685,19,0.416,29.1,trees
user_135,1929,310,89,0.409,22.4,trees
user_136,958,312,85,0.347,27.2,graphs
user_137,1100,296,12,0.108,34.3,graphs
user_138,1546,404,61,0.809,10.3,math
user_139,837,19,41,0.366,23.9,graphs
user_140,1297,716,33,0.455,13.1,strings
user_141,1793,639,50,0.365,51.6,math
user_142,800,279,68,0.309,26.4,implementation
user_143,1280,601,71,0.579,13.2,trees
user_144,1310,614,86,0.367,60.0,binary search
user_145,1532,787,33,0.579,19.6,graphs
user_146,836,370,81,0.752,22.9,binary search
user_147,815,266,24,0.797,23.6,graphs
user_148,1417,142,61,0.306,16.5,graphs
user_149,1324,285,61,0.608,27.5,binary search
user_150,1306,785,98,0.33,5.0,dp
user_151,1344,692,28,0.462,35.9,dp
user_152,988,522,58,0.52,13.7,dp
user_153,1299,322,43,0.421,20.8,strings
user_154,1323,585,41,0.397,32.5,dp
user_155,978,293,39,0.497,23.0,graphs
user_156,2121,130,86,0.043,23.4,trees
user_157,1397,116,49,0.122,14.9,greedy
user_158,847,696,17,0.223,46.0,binary search
user_159,1475,213,98,0.673,30.3,trees
user_160,904,174,70,0.149,14.2,greedy
user_161,1534,314,70,0.855,26.8,trees
user_162,1715,506,98,0.425,13.5,strings
user_163,947,641,65,0.537,42.2,greedy
user_164,1618,565,74,0.908,27.0,implementation
user_165,1371,165,85,0.169,15.2,math
user_166,1550,376,5,0.108,32.0,dp
user_167,2141,728,2,0.214,22.2,implementation
user_168,1125,629,22,0.399,12.1,strings
user_169,966,260,57,0.115,28.8,trees
user_170,928,343,66,0.319,28.5,graphs
user_171,948,651,74,0.174,36.4,dp
user_172,1184,520,98,0.769,25.6,implementation
user_173,1342,302,16,0.367,26.1,dp
user_174,1316,29,51,0.351,26.6,greedy
user_175,1553,291,39,0.066,41.0,math
user_176,1216,10,86,0.355,21.9,dp
user_177,1874,128,76,0.361,29.7,trees
user_178,1119,44,88,0.346,31.2,trees
user_179,2740,207,40,0.257,28.5,binary search
user_180,1462,494,38,0.379,21.5,binary search
user_181,937,766,60,0.533,26.2,dp
user_182,878,68,59,0.448,24.1,greedy
user_183,1400,170,10,0.578,44.6,greedy
user_184,1133,700,99,0.499,20.4,graphs
user_185,1501,215,64,0.333,15.9,strings
user_186,1396,21,63,0.59,24.9,strings
user_187,1185,499,49,0.055,24.2,implementation
user_188,940,285,64,0.571,27.0,strings
user_189,800,702,32,0.332,20.4,math
user_190,1060,251,7,0.538,26.1,greedy
user_191,1567,225,21,0.276,26.3,graphs
user_192,1292,260,20,0.324,34.1,binary search
user_193,834,135,26,0.154,25.9,trees
user_194,1276,226,68,0.662,26.0,strings
user_195,1360,315,86,0.363,30.2,binary search
user_196,929,194,15,0.464,33.7,binary search
user_197,1269,48,85,0.58,15.2,dp
user_198,1233,232,79,0.248,12.5,math
user_199,860,193,86,0.2,42.0,graphs
user_200,1349,504,92,0.927,32.0,math
user_201,1434,436,14,0.379,22.8,dp
user_202,1677,187,27,0.287,25.2,graphs
user_203,1662,437,40,0.337,21.1,graphs
user_204,801,303,58,0.163,27.1,greedy
user_205,914,160,28,0.421,15.3,math
user_206,1414,393,26,0.738,33.4,math
user_207,1413,647,63,0.459,26.8,greedy
user_208,1414,317,66,0.143,27.1,implementation
user_209,3500,345,25,0.577,16.1,binary search
user_210,1438,755,3,0.542,30.2,dp
user_211,1703,384,72,0.543,16.3,math
user_212,1613,17,44,0.249,18.1,greedy
user_213,1473,350,97,0.643,25.9,trees
user_214,1102,138,42,0.693,50.1,implementation
user_215,1521,785,99,0.514,26.7,graphs
user_216,961,678,6,0.316,5.0,strings
user_217,1128,361,39,0.362,18.6,trees
user_218,1047,367,52,0.321,31.8,greedy
user_219,1242,526,23,0.236,13.7,strings
user_220,2426,504,89,0.546,33.3,binary search
user_221,800,95,50,0.753,26.6,dp
user_222,1489,184,43,0.365,34.9,strings
user_223,800,202,19,0.175,19.4,implementation
user_224,1051,320,69,0.306,18.6,binary search
user_225,1680,128,51,0.577,30.6,strings
user_226,1235,227,11,0.201,24.9,graphs
user_227,877,436,12,0.54,24.3,graphs
user_228,977,423,74,0.568,40.7,implementation
user_229,1486,123,8,0.57,31.0,graphs
user_230,973,154,24,0.486,5.1,graphs
user_231,1293,547,92,0.289,33.0,greedy
user_232,1228,657,41,0.39,32.0,graphs
user_233,996,312,36,0.503,36.8,trees
user_234,2305,753,85,0.284,15.6,graphs
user_235,1465,597,72,0.314,28.2,trees
user_236,800,354,55,0.058,26.1,greedy
user_237,1281,10,9,0.533,15.4,graphs
user_238,993,156,47,0.09,34.5,implementation
user_239,1565,296,15,0.281,22.6,binary search
user_240,955,663,48,0.767,36.5,implementation
user_241,1170,62,82,0.533,17.6,binary search
user_242,1410,313,42,0.669,10.4,math
user_243,1571,78,60,0.514,22.6,binary search
user_244,845,370,84,0.506,27.3,dp
user_245,1096,611,70,0.616,19.7,dp
user_246,1051,229,12,0.204,5.0,dp
user_247,996,713,2,0.422,28.8,greedy
user_248,2058,584,7,0.646,28.8,implementation
user_249,1368,594,80,0.306,31.9,binary search
user_250,830,170,3,0.502,21.2,implementation
user_251,1596,690,3,0.105,20.6,trees
user_252,2290,98,27,0.669,39.4,dp
user_253,1651,697,40,0.511,9.2,math
user_254,800,790,33,0.541,22.5,greedy
user_255,1048,594,92,0.671,26.4,math
user_256,1772,766,1,0.357,31.1,binary search
user_257,980,598,8,0.231,26.7,graphs
user_258,1384,168,32,0.232,15.8,math
user_259,1529,498,48,0.349,36.7,graphs
user_260,917,333,4,0.343,25.0,greedy
user_261,1190,619,94,0.405,8.3,math
user_262,800,390,70,0.291,27.1,math
user_263,891,111,19,0.591,29.8,strings
user_264,1123,503,32,0.246,44.6,greedy
user_265,833,653,9,0.481,29.1,greedy
user_266,1977,623,12,0.137,10.2,dp
user_267,800,28,11,0.416,10.5,binary search
user_268,1062,463,46,0.481,37.6,math
user_269,1260,491,16,0.286,17.0,implementation
user_270,1867,603,1,0.513,9.5,math
user_271,800,406,63,0.686,35.0,trees
user_272,1718,288,21,0.38,20.2,greedy
user_273,1215,374,30,0.135,34.5,implementation
user_274,902,340,13,0.463,15.9,greedy
user_275,1392,650,34,0.311,39.7,binary search
user_276,1286,353,4,0.323,33.7,greedy
user_277,1012,464,28,0.181,17.8,graphs
user_278,1237,610,95,0.557,8.4,graphs
user_279,1079,734,59,0.227,48.1,strings
user_280,1253,664,27,0.255,22.9,graphs
user_281,1478,74,69,0.326,17.4,graphs
user_282,1950,85,25,0.278,38.9,binary search
user_283,836,720,3,0.092,34.5,math
user_284,2298,152,97,0.226,36.8,graphs
user_285,800,614,68,0.502,24.0,implementation
user_286,1158,482,25,0.361,43.8,strings
user_287,1445,426,20,0.227,11.9,greedy
user_288,1318,314,34,0.161,19.5,graphs
user_289,1005,745,26,0.618,28.9,strings
user_290,1138,506,5,0.356,36.7,binary search
user_291,1045,300,99,0.606,31.6,trees
user_292,1015,111,61,0.361,24.2,trees
user_293,1563,276,92,0.267,20.2,trees
user_294,1348,631,93,0.207,36.7,greedy
user_295,984,786,9,0.428,32.6,strings
user_296,1587,12,50,0.022,16.3,graphs
user_297,1329,94,6,0.804,16.0,math
user_298,1546,337,83,0.47,19.5,greedy
user_299,1463,459,60,0.525,18.3,greedy
user_300,945,463,44,0.414,35.3,trees
user_301,1024,638,11,0.232,29.4,math
user_302,1516,230,66,0.462,30.6,trees
user_303,1455,163,47,0.319,26.9,greedy
user_304,1204,674,73,0.539,27.4,graphs
user_305,1255,21,85,0.407,9.2,trees
user_306,1778,142,88,0.722,32.9,trees
user_307,1014,313,98,0.124,19.4,implementation
user_308,1428,302,86,0.606,24.7,trees
user_309,1140,309,3,0.544,20.3,greedy
user_310,1135,749,76,0.406,26.5,graphs
user_311,1685,792,92,0.364,30.7,math
user_312,1552,52,30,0.237,14.9,dp
user_313,1546,352,90,0.624,27.5,math
user_314,1792,335,21,0.889,20.5,graphs
user_315,1219,507,28,0.225,38.2,binary search
user_316,1487,373,90,0.881,13.9,trees
user_317,1104,436,62,0.317,15.0,math
user_318,1335,30,33,0.677,21.4,binary search
user_319,1165,416,85,0.5,15.7,binary search
user_320,1247,628,35,0.343,22.8,graphs
user_321,1448,345,52,0.353,19.7,graphs
user_322,948,126,34,0.228,25.9,implementation
user_323,2270,133,41,0.724,35.1,trees
user_324,896,408,51,0.491,25.7,dp
user_325,841,724,47,0.374,26.6,strings
user_326,1715,60,82,0.412,14.4,greedy
user_327,1536,792,58,0.672,23.7,math
user_328,1461,333,75,0.29,20.8,graphs
user_329,1463,798,57,0.302,31.8,math
user_330,1207,150,23,0.386,17.4,strings
user_331,925,479,48,0.205,16.4,strings
user_332,1239,796,22,0.346,28.2,trees
user_333,989,343,17,0.242,44.8,binary search
user_334,1623,382,69,0.407,23.2,trees
user_335,1159,573,11,0.716,26.7,greedy
user_336,946,503,94,0.553,34.5,dp
user_337,1100,548,15,0.146,30.1,math
user_338,1371,678,91,0.038,30.2,greedy
user_339,1023,760,35,0.495,24.0,implementation
user_340,947,165,33,0.054,24.2,dp
user_341,1303,300,84,0.715,17.4,math
user_342,1304,657,16,0.194,29.9,greedy
user_343,1040,153,34,0.227,29.6,graphs
user_344,1052,115,66,0.509,32.2,math
user_345,1299,429,99,0.374,20.1,greedy
user_346,800,679,40,0.378,33.3,strings
user_347,800,667,28,0.236,36.3,dp
user_348,976,11,47,0.644,12.9,greedy
user_349,1136,598,39,0.249,22.0,graphs
user_350,1330,653,70,0.408,36.8,trees
user_351,1886,99,73,0.19,18.5,math
user_352,1567,354,20,0.109,30.3,implementation
user_353,1155,359,1,0.573,25.1,math
user_354,1205,468,72,0.532,28.3,math
user_355,897,272,87,0.332,25.4,graphs
user_356,1205,360,63,0.312,32.5,dp
user_357,1111,117,67,0.194,14.8,math
user_358,1335,595,4,0.546,15.9,dp
user_359,945,48,58,0.219,39.6,greedy
user_360,1416,168,25,0.512,46.0,strings
user_361,1919,592,47,0.512,24.9,implementation
user_362,1173,321,38,0.357,42.2,strings
user_363,1367,250,15,0.294,17.3,dp
user_364,1490,454,63,0.496,19.7,dp
user_365,1074,307,21,0.324,39.6,strings
user_366,1296,45,99,0.443,33.0,math
user_367,1216,93,57,0.345,41.1,binary search
user_368,1248,461,53,0.301,29.7,binary search
user_369,961,784,46,0.772,14.9,graphs
user_370,1220,394,14,0.533,27.2,implementation
user_371,1407,181,76,0.408,37.0,trees
user_372,1873,385,17,0.331,23.7,strings
user_373,1616,694,39,0.194,22.1,strings
user_374,2312,371,9,0.314,29.8,graphs
user_375,962,568,99,0.046,19.4,implementation
user_376,1574,150,77,0.589,28.0,binary search
user_377,1280,127,79,0.251,25.6,greedy
user_378,2337,286,82,0.703,20.1,math
user_379,950,735,97,0.282,34.8,math
user_380,942,229,6,0.546,31.5,greedy
user_381,1012,35,91,0.433,21.5,greedy
user_382,800,530,23,0.393,24.9,implementation
user_383,1035,792,59,0.033,22.3,binary search
user_384,965,19,91,0.565,18.6,graphs
user_385,1267,387,98,0.61,8.0,greedy
user_386,1342,642,46,0.313,20.2,graphs
user_387,2127,646,38,0.461,18.8,implementation
user_388,1611,691,14,0.381,26.1,trees
user_389,1019,593,72,0.416,29.4,dp
user_390,925,161,62,0.098,17.0,math
user_391,1404,729,35,0.521,28.7,binary search
user_392,815,58,19,0.37,15.4,math
user_393,2099,163,30,0.442,23.7,binary search
user_394,1726,302,78,0.412,19.0,implementation
user_395,1052,589,84,0.419,32.5,dp
user_396,800,59,25,0.471,26.2,math
user_397,1819,673,40,0.615,23.9,dp
user_398,1171,540,88,0.328,18.7,implementation
user_399,1756,621,14,0.17,21.7,binary search
user_400,800,69,26,0.212,43.3,greedy
user_401,1012,176,87,0.446,20.0,trees
user_402,1213,211,22,0.649,29.8,math
user_403,1229,155,48,0.349,23.9,dp
user_404,1058,685,83,0.367,29.5,strings
user_405,1460,448,51,0.888,33.4,math
user_406,879,251,3,0.845,21.5,math
user_407,1161,590,42,0.149,32.1,math
user_408,1256,696,19,0.598,52.6,graphs
user_409,1414,570,73,0.515,30.7,dp
user_410,1500,492,28,0.057,41.1,dp
user_411,864,117,84,0.396,29.8,math
user_412,800,235,45,0.547,15.7,implementation
user_413,1778,682,71,0.517,27.8,implementation
user_414,1339,640,78,0.552,21.7,greedy
user_415,968,670,63,0.554,19.0,math
user_416,1930,671,73,0.33,24.3,graphs
user_417,1254,441,19,0.052,23.5,binary search
user_418,1726,664,47,0.231,14.4,graphs
user_419,1236,428,14,0.179,52.1,implementation
user_420,2248,464,38,0.143,33.1,greedy
user_421,2052,169,53,0.571,27.4,implementation
user_422,1124,532,61,0.266,25.9,implementation
user_423,1622,659,36,0.27,37.0,implementation
user_424,1470,599,40,0.466,45.8,math
user_425,1827,86,81,0.101,31.9,implementation
user_426,907,518,30,0.548,26.2,dp
user_427,1488,450,9,0.66,39.7,trees
user_428,1664,263,64,0.079,26.4,strings
user_429,800,779,33,0.683,29.4,math
user_430,849,329,52,0.179,35.0,greedy
user_431,800,272,89,0.228,21.1,dp
user_432,1117,606,14,0.638,5.0,graphs
user_433,1503,667,75,0.526,20.6,implementation
user_434,1902,563,53,0.579,32.7,binary search
user_435,1239,383,99,0.421,32.0,binary search
user_436,1975,646,59,0.203,38.4,trees
user_437,801,176,78,0.379,21.0,math
user_438,800,762,94,0.34,40.8,graphs
user_439,1191,468,41,0.604,26.9,trees
user_440,1359,289,68,0.656,31.0,strings
user_441,1200,709,68,0.355,34.0,strings
user_442,800,311,92,0.252,11.2,trees
user_443,1179,540,8,0.362,15.0,greedy
user_444,819,589,2,0.663,14.6,binary search
user_445,1481,227,86,0.565,35.7,graphs
user_446,1352,111,41,0.248,21.9,math
user_447,914,563,55,0.649,45.3,implementation
user_448,1038,297,16,0.299,25.0,dp
user_449,882,176,93,0.399,10.3,math
user_450,1189,630,62,0.207,18.3,math
user_451,1614,45,48,0.468,26.2,graphs
user_452,901,753,30,0.419,30.2,binary search
user_453,1409,750,12,0.137,15.2,graphs
user_454,1033,362,35,0.399,30.7,dp
user_455,955,685,11,0.256,33.4,trees
user_456,1173,82,64,0.505,18.6,graphs
user_457,888,657,50,0.372,44.7,greedy
user_458,1026,362,85,0.372,19.7,math
user_459,846,79,21,0.067,15.0,binary search
user_460,2185,434,69,0.164,9.7,implementation
user_461,1224,717,48,0.659,37.2,strings
user_462,982,790,20,0.531,25.2,dp
user_463,1292,570,67,0.279,20.2,strings
user_464,1171,651,44,0.165,10.3,math
user_465,1134,526,33,0.246,21.1,graphs
user_466,1457,437,73,0.213,48.8,strings
user_467,1521,548,61,0.409,5.0,greedy
user_468,1033,169,9,0.222,18.7,graphs
user_469,1019,158,68,0.093,42.9,math
user_470,1115,785,35,0.387,37.5,strings
user_471,800,239,81,0.388,19.3,implementation
user_472,800,721,98,0.293,27.0,trees
user_473,1826,571,88,0.057,29.6,dp
user_474,1985,76,96,0.499,26.3,strings
user_475,1124,390,65,0.287,42.8,implementation
user_476,1440,67,8,0.567,28.4,trees
user_477,1330,268,45,0.239,36.4,trees
user_478,3052,351,87,0.014,26.8,strings
user_479,1695,139,47,0.585,5.0,binary search
user_480,1166,736,40,0.202,13.1,strings
user_481,909,181,76,0.088,15.2,math
user_482,800,779,54,0.475,22.5,trees
user_483,1288,623,76,0.547,45.8,dp
user_484,965,218,46,0.192,28.6,math
user_485,800,363,47,0.559,23.9,greedy
user_486,998,480,15,0.73,37.4,graphs
user_487,876,125,19,0.543,10.5,strings
user_488,2010,273,26,0.509,20.1,binary search
user_489,1578,671,52,0.444,18.6,dp
user_490,1209,451,93,0.441,29.0,binary search
user_491,1889,557,22,0.529,34.0,binary search
user_492,1240,462,21,0.085,29.7,binary search
user_493,935,486,51,0.301,29.9,strings
user_494,1913,296,38,0.891,21.4,dp
user_495,1424,312,20,0.341,28.2,dp
user_496,887,320,29,0.122,16.6,trees
user_497,1144,217,51,0.476,31.7,binary search
user_498,931,627,4,0.104,20.0,trees
user_499,800,455,55,0.383,13.8,trees
user_500,1600,679,71,0.352,25.4,graphs
user_501,2149,642,92,0.563,5.9,strings
user_502,800,64,28,0.249,39.7,strings
user_503,1434,21,4,0.033,33.0,math
user_504,997,666,22,0.398,28.4,implementation
user_505,1047,409,76,0.525,8.8,trees
user_506,1014,657,45,0.51,18.0,strings
user_507,935,524,67,0.066,25.4,binary search
user_508,1229,665,86,0.44,22.4,implementation
user_509,944,551,66,0.3,8.1,greedy
user_510,1314,246,88,0.322,11.8,binary search
user_511,1193,288,34,0.07,22.2,dp
user_512,1128,357,91,0.131,12.2,strings
user_513,923,636,55,0.3,38.7,implementation
user_514,1019,113,1,0.024,29.9,strings
user_515,1520,639,72,0.627,17.0,math
user_516,1408,526,87,0.012,36.7,trees
user_517,903,257,38,0.275,34.7,greedy
user_518,1248,373,6,0.436,27.9,strings
user_519,1518,330,86,0.456,24.6,math
user_520,800,642,25,0.296,22.0,math
user_521,1426,295,82,0.07,19.6,greedy
user_522,993,158,17,0.121,11.6,binary search
user_523,1438,93,61,0.769,40.3,binary search
user_524,963,415,12,0.43,19.8,binary search
user_525,800,465,6,0.742,25.3,graphs
user_526,800,752,90,0.429,15.9,trees
user_527,1229,170,27,0.711,22.4,implementation
user_528,1310,793,8,0.581,53.5,trees
user_529,923,469,83,0.219,17.7,binary search
user_530,1467,559,65,0.42,39.5,greedy
user_531,800,509,57,0.177,24.7,graphs
user_532,1188,747,93,0.166,31.8,trees
user_533,842,518,99,0.198,37.4,binary search
user_534,996,663,40,0.576,27.7,graphs
user_535,1229,490,14,0.24,21.5,implementation
user_536,936,672,35,0.392,23.1,greedy
user_537,1079,123,48,0.255,23.5,binary search
user_538,1639,758,84,0.258,43.6,implementation
user_539,1019,587,56,0.644,10.2,dp
user_540,1557,370,49,0.596,7.3,implementation
user_541,863,350,13,0.643,8.0,strings
user_542,1420,779,61,0.736,16.1,greedy
user_543,1867,770,49,0.343,32.0,implementation
user_544,800,458,46,0.215,32.6,implementation
user_545,954,189,62,0.497,18.9,math
user_546,1441,711,8,0.214,24.7,math
user_547,1140,416,43,0.35,13.8,implementation
user_548,1354,675,20,0.317,14.8,implementation
user_549,1011,205,97,0.151,30.8,greedy
user_550,1243,475,90,0.67,35.5,math
user_551,1156,320,39,0.372,20.2,trees
user_552,1720,271,85,0.614,41.4,greedy
user_553,1308,428,49,0.429,34.7,dp
user_554,1341,415,64,0.634,40.9,greedy
user_555,1071,152,62,0.232,22.0,binary search
user_556,1047,351,54,0.774,40.2,binary search
user_557,1064,325,9,0.664,46.8,graphs
user_558,1364,110,88,0.131,20.9,math
user_559,1068,253,37,0.393,23.5,implementation
user_560,1322,499,49,0.206,15.5,strings
user_561,2258,21,41,0.816,13.6,math
user_562,1573,248,17,0.842,13.7,trees
user_563,1099,570,88,0.816,16.9,greedy
user_564,1737,51,21,0.495,27.7,strings
user_565,1072,687,51,0.416,17.3,strings
user_566,800,603,59,0.441,27.4,implementation
user_567,895,438,39,0.618,27.6,implementation
user_568,800,167,55,0.188,20.3,math
user_569,1090,225,41,0.446,24.4,strings
user_570,1218,679,39,0.555,19.7,strings
user_571,2004,471,13,0.767,21.9,binary search
user_572,1336,143,64,0.494,16.9,dp
user_573,1134,76,11,0.765,25.8,implementation
user_574,1554,16,19,0.842,19.0,greedy
user_575,800,535,11,0.314,13.3,math
user_576,1300,82,77,0.461,30.9,implementation
user_577,1527,408,46,0.439,31.3,binary search
user_578,800,414,45,0.501,36.1,trees
user_579,1708,684,1,0.379,14.8,implementation
user_580,1341,587,40,0.454,20.2,trees
user_581,1069,139,19,0.092,27.3,graphs
user_582,1465,475,76,0.443,20.0,strings
user_583,2395,215,72,0.503,30.7,strings
user_584,1279,797,72,0.524,30.0,math
user_585,1305,777,61,0.194,29.8,dp
user_586,1055,275,12,0.696,39.6,dp
user_587,939,546,61,0.507,31.4,math
user_588,1554,262,33,0.499,26.5,math
user_589,937,298,45,0.246,23.1,binary search
user_590,1238,173,90,0.426,23.8,trees
user_591,1050,104,92,0.324,14.4,math
user_592,1399,791,69,0.692,7.3,trees
user_593,1339,119,8,0.146,29.6,implementation
user_594,1654,345,25,0.458,37.2,implementation
user_595,1040,247,91,0.255,21.7,graphs
user_596,1117,390,46,0.335,40.9,trees
user_597,903,445,87,0.322,23.2,binary search
user_598,1060,492,30,0.245,5.5,implementation
user_599,1357,34,47,0.099,34.2,strings
user_600,1520,662,87,0.536,20.2,strings
user_601,919,126,49,0.217,35.1,implementation
user_602,1573,491,47,0.489,12.2,implementation
user_603,1820,401,84,0.428,29.1,implementation
user_604,1372,546,82,0.243,17.0,trees
user_605,2128,88,18,0.138,27.0,strings
user_606,960,589,66,0.526,32.7,strings
user_607,834,182,68,0.371,30.3,greedy
user_608,800,21,94,0.329,25.7,implementation
user_609,1898,137,33,0.24,11.2,graphs
user_610,1474,617,36,0.469,32.3,implementation
user_611,1191,101,82,0.617,35.3,binary search
user_612,1318,662,19,0.015,14.6,binary search
user_613,864,552,28,0.183,16.0,strings
user_614,2524,541,40,0.357,35.7,implementation
user_615,1259,667,84,0.388,22.9,dp
user_616,1252,456,97,0.544,16.3,binary search
user_617,1506,399,76,0.372,27.7,implementation
user_618,1400,681,15,0.697,18.6,graphs
user_619,1296,52,41,0.574,26.6,math
user_620,956,263,39,0.399,20.9,implementation
user_621,1396,139,2,0.362,21.7,graphs
user_622,2131,69,63,0.689,36.1,strings
user_623,1814,672,29,0.332,5.0,strings
user_624,1954,476,74,0.413,30.5,greedy
user_625,1039,296,66,0.065,34.5,trees
user_626,900,526,51,0.041,18.8,binary search
user_627,1167,476,75,0.768,34.4,trees
user_628,1232,787,77,0.365,15.4,implementation
user_629,1682,354,10,0.477,18.4,trees
