contest_id,index,name,rating,tags,solved_count
2211,E,Minimum Path Cover,2500.0,"brute force, dp, greedy, interactive, math, number theory, trees",885
2211,D,AND-array,1900.0,"bitmasks, combinatorics, math",2986
2211,C2,Equal Multisets (Hard Version),1800.0,"constructive algorithms, dsu, greedy",3781
2211,C1,Equal Multisets (Easy Version),1300.0,"binary search, brute force, greedy, two pointers",9397
2211,B,Mickey Mouse Constructive,1100.0,"constructive algorithms, dp, greedy, math",11929
2211,A,Antimedian Deletion,800.0,"implementation, math",16469
2210,F,A Simple Problem,2700.0,"binary search, data structures, greedy, math, trees",228
2210,E,Binary Strings are Simple?,2700.0,"constructive algorithms, implementation, interactive, number theory",334
2210,D,A Simple RBS Problem,2100.0,"constructive algorithms, math, strings, trees",2082
2210,C2,A Simple GCD Problem (Hard Version),2100.0,"dp, greedy, number theory",2217
2210,C1,A Simple GCD Problem (Easy Version),1200.0,"greedy, number theory",13225
2210,B,Simply Sitting on Chairs,900.0,"data structures, greedy",18025
2210,A,A Simple Sequence,800.0,"constructive algorithms, dp, greedy, number theory",22851
2209,F,Dynamic Values And Maximum Sum,2700.0,"data structures, greedy, implementation, trees",427
2209,E,A Trivial String Problem,2200.0,"brute force, dp, hashing, string suffix structures, strings",1836
2209,D,Ghostfires,1800.0,"constructive algorithms, greedy",5454
2209,C,Find the Zero,1400.0,"constructive algorithms, interactive",10941
2209,B,Array,900.0,greedy,19804
2209,A,Flip Flops,800.0,greedy,21944
2208,E,Counting Cute Arrays,2700.0,"combinatorics, dp",439
2208,D2,Tree Orientation (Hard Version),2200.0,"dfs and similar, dsu, graphs, greedy, sortings, trees",1889
2208,D1,Tree Orientation (Easy Version),1800.0,"constructive algorithms, dfs and similar, dsu, graphs, greedy, matrices, trees",4333
2208,C,Stamina and Tasks,1300.0,"dp, greedy, math",11390
2208,B,Cyclists,1100.0,"brute force, games, greedy, implementation, math, sortings",13953
2208,A,Bingo Candies,800.0,"constructive algorithms, math",20612
2207,G,Toothless,3300.0,"constructive algorithms, dfs and similar, dsu",160
2207,F,Hanabi,2900.0,"binary search, data structures, dp, dsu, flows, graph matchings, graphs, greedy",274
2207,E2,N-MEX (Counting Version),2400.0,"combinatorics, constructive algorithms, math",881
2207,E1,N-MEX (Constructive Version),2100.0,"constructive algorithms, greedy",1687
2207,D,Boxed Like a Fish,2200.0,"dfs and similar, dp, games, shortest paths, trees",2146
2207,C,Where's My Water?,1600.0,"data structures, divide and conquer, dp, math",5648
2207,B,One Night At Freddy's,1600.0,"games, greedy, sortings",5971
2207,A,1-1,800.0,"greedy, strings",13924
2206,M,Deformed Balance,2900.0,,48
2206,L,Onion,3500.0,,45
2206,K,Time Display Stickers,1300.0,binary search,1568
2206,J,Worldwide Playlist,1700.0,math,1095
2206,I,Growth Factor,2900.0,"combinatorics, dp, math, number theory",169
2206,H,Reflect Sort,1800.0,number theory,918
2206,G,Extra Transition,3100.0,graphs,77
2206,F,Minesweeper String,2400.0,"fft, number theory",429
2206,E,Parallel Sums,2500.0,"data structures, geometry",411
2206,D,Christmas Tree Un-decoration,2600.0,"data structures, dp, trees",257
2206,C,Upside Down Dijkstra,2200.0,dfs and similar,651
2206,B,Subtree Removal Game,2500.0,"binary search, games, trees",365
2206,A,Compare Suffixes,3500.0,interactive,88
2205,G,Simons and Diophantus Equation,3000.0,"bitmasks, brute force, data structures, math, number theory",207
2205,F,Simons and Reconstructing His Roads,2400.0,"constructive algorithms, data structures, dsu, graphs",651
2205,E,Simons and Dividing the Rhythm,2100.0,"combinatorics, data structures, dp, dsu, math, string suffix structures, strings",1597
2205,D,Simons and Beating Peaks,1700.0,"data structures, divide and conquer, dp, greedy, implementation, trees",5045
2205,C,Simons and Posting Blogs,1500.0,"greedy, sortings",7920
2205,B,Simons and Cakes for Success,800.0,"implementation, math",16428
2205,A,Simons and Making It Beautiful,800.0,"brute force, constructive algorithms",17553
2204,G,Grid Path,2700.0,"dp, graphs, matrices",415
2204,F,Sum of Fractions,2200.0,"binary search, brute force, combinatorics, data structures, greedy, math, number theory, two pointers",1248
2204,E,Sum of Digits (and Again),1800.0,"brute force, constructive algorithms, math",4869
2204,D,Alternating Path,1400.0,"constructive algorithms, dfs and similar, graph matchings, graphs",9110
2204,C,Spring,1000.0,"math, number theory",17803
2204,B,Right Maximum,800.0,greedy,19846
2204,A,Passing the Ball,800.0,"brute force, implementation",22027
2203,F,Binary Search with One Swap,2600.0,"binary search, divide and conquer, dp, hashing, math, two pointers",422
2203,E,Probabilistic Card Game,2200.0,"binary search, data structures, games, greedy, math, ternary search",1444
2203,D,Divisibility Game,1700.0,"brute force, games, greedy, number theory",5567
2203,C,Test Generator,1500.0,"binary search, bitmasks, greedy, math",7231
2203,B,Beautiful Numbers,1000.0,"bitmasks, dp, fft, greedy, math",14632
2203,A,Towers of Boxes,800.0,math,18288
2202,G1,Monotone Monochrome Matrices (Easy Version),2500.0,data structures,288
2202,B,ABAB Construction,1200.0,"dp, greedy, implementation",11341
2202,A,Parkour Design,800.0,math,16560
2201,G,Codeforces Heuristic Contest 1001,3500.0,constructive algorithms,68
2201,F2,Monotone Monochrome Matrices (Hard Version),2800.0,"constructive algorithms, data structures, hashing, math",404
2201,F1,Monotone Monochrome Matrices (Medium Version),2900.0,"data structures, hashing",274
2201,E,ABBA Counting,2900.0,"fft, math, number theory, strings",282
2201,D,Binary Not Search and Queries,2500.0,"data structures, greedy, implementation",800
2201,C,Rigged Bracket Sequence,2000.0,"combinatorics, dp, greedy",2034
2201,B,Recollect Numbers,1700.0,constructive algorithms,5030
2201,A2,Lost Civilization (Hard Version),1700.0,"data structures, dp",5170
2201,A1,Lost Civilization (Easy Version),1300.0,data structures,11258
2200,H,Six Seven,2600.0,"divide and conquer, math, number theory, strings, trees",470
2200,G,Operation Permutation,2200.0,"combinatorics, dp, math, probabilities",1052
2200,F,Mooclear Reactor 2,1900.0,"brute force, data structures, greedy, implementation, sortings",2956
2200,E,Divisive Battle,1500.0,"games, greedy, math, number theory",8321
2200,D,Portal,1300.0,"greedy, sortings",12057
2200,C,Specialty String,900.0,"brute force, greedy, strings",22173
2200,B,Deletion Sort,800.0,"bitmasks, brute force, greedy, sortings",25918
2200,A,Eating Game,800.0,greedy,28638
2199,I,Strange Process,3000.0,*special,36
2199,H,Sum of MEX,2300.0,"*special, combinatorics, data structures, dp, math",92
2199,G,Jammer,2500.0,"*special, math",60
2199,F,Self-Produced Sequences,2000.0,"*special, combinatorics, math",152
2199,E,Supersequence,2100.0,"*special, binary search, greedy",186
2199,D,Two Arrays,1800.0,"*special, math",284
2199,C,Minesweeper,1600.0,"*special, constructive algorithms, greedy",430
2199,B,Two Towers,1400.0,"*special, greedy, math",928
2199,A,Game,1000.0,*special,1395
2197,B,Array and Permutation,1100.0,"implementation, schedules, sortings, two pointers",16079
2197,A,Friendly Numbers,800.0,"binary search, brute force, expression parsing, math, schedules",23043
2196,F,Indivisible,3300.0,"brute force, constructive algorithms, graphs",107
2196,E2,Fuzzy Concatenation (Hard version),3000.0,"binary search, bitmasks, data structures, dp, greedy, string suffix structures",202
2196,E1,Fuzzy Concatenation (Easy Version),2900.0,"binary search, bitmasks, brute force, data structures, greedy, string suffix structures",288
2196,D,Double Bracket Sequence,2500.0,"data structures, dp, expression parsing, flows, greedy, strings",1010
2196,C2,Interactive Graph (Hard Version),2000.0,"combinatorics, dfs and similar, dp, graphs, interactive",2555
2196,C1,Interactive Graph (Simple Version),1800.0,"binary search, combinatorics, dfs and similar, dp, graphs, interactive",3644
2196,B,Another Problem about Beautiful Pairs,1600.0,"brute force, math, two pointers",8718
2196,A,Game with a Fraction,1200.0,"games, math",16073
2195,H,Codeforces Heuristic Contest 001,2400.0,"brute force, constructive algorithms, geometry, implementation",475
2195,G,Idiot First Search and Queries,2300.0,"binary search, data structures, dp, graphs, trees",1065
2195,F,Parabola Independence,2000.0,"dp, graphs, greedy, math, sortings",2744
2195,E,Idiot First Search,1500.0,"dfs and similar, dp, trees",8707
2195,D,Absolute Cinema,1300.0,math,13825
2195,C,Dice Roll Sequence,1100.0,"dp, greedy",20763
2195,B,Heapify 1,900.0,"implementation, sortings",25190
2195,A,Sieve of Erato67henes,800.0,"math, number theory",35767
2194,F2,Again Trees... (hard version),3000.0,"bitmasks, data structures, dfs and similar, dp, fft, trees",172
2194,F1,Again Trees... (Easy Version),2300.0,"bitmasks, dfs and similar, dp, trees",901
2194,E,The Turtle Strikes Back,2000.0,"dp, graphs, greedy, implementation",2677
2194,D,Table Cut,1600.0,"constructive algorithms, greedy, implementation",7985
2194,C,Secret message,1300.0,"bitmasks, brute force, dp, math, number theory",11036
2194,B,Offshores,1000.0,"greedy, implementation, math",18645
2194,A,Lawn Mower,800.0,"greedy, math",24053
2193,H,Remove the Grail Tree,2400.0,"dfs and similar, dp, graphs, greedy, implementation, trees",1058
2193,G,Paths in a Tree,2100.0,"dfs and similar, interactive, sortings, trees",2264
2193,F,Pizza Delivery,1600.0,"dp, greedy",8567
2193,E,Product Queries,1300.0,"dp, math, number theory, shortest paths",15342
2193,D,Monster Game,1100.0,"binary search, sortings, two pointers",21751
2193,C,Replace and Sum,1000.0,"data structures, greedy",28964
2193,B,Reverse a Permutation,800.0,greedy,30298
2193,A,DBMB and the Array,800.0,"brute force, math",42892
2192,F,Fish Fight,2900.0,"dp, math, probabilities",174
2192,E,Swap to Rearrange,2100.0,"constructive algorithms, dfs and similar, graph matchings, graphs, greedy, strings",2116
2192,D,Cost of Tree,1800.0,"dp, greedy, trees",3615
2192,C,All-in-one Gun,1300.0,"binary search, greedy, math",11196
2192,B,Flipping Binary String,1000.0,"constructive algorithms, strings",14746
2192,A,String Rotation Game,800.0,"brute force, strings",18079
2191,B,MEX Reordering,1000.0,"constructive algorithms, sortings",20053
2191,A,Array Coloring,800.0,constructive algorithms,27942
2190,G,Maximize Determinant,3300.0,graphs,97
2190,F,Xor Product,3300.0,"bitmasks, dp",93
2190,E,Median Permutation,3200.0,combinatorics,240
2190,D,Prufer Vertex,2500.0,"combinatorics, dsu, number theory, probabilities, trees",958
2190,C,Comparable Permutations,2300.0,"greedy, implementation, interactive, sortings, two pointers",1301
2190,B2,Sub-RBS (Hard Version),1900.0,"dp, games, implementation, strings",3207
2190,B1,Sub-RBS (Easy Version),1400.0,"combinatorics, constructive algorithms, dp, greedy, strings, two pointers",10797
2190,A,Sorting Game,1200.0,"constructive algorithms, games, greedy",17285
2189,F,Zhora the Vacuum Cleaner,2800.0,"data structures, dfs and similar, dp, greedy, implementation, sortings, trees",228
2189,E,Majority Wins?,2600.0,"constructive algorithms, greedy, math, strings",829
2189,D2,Little String (Hard Version),2200.0,"combinatorics, dp, greedy, math, number theory",1955
2189,D1,Little String (Easy Version),1900.0,"combinatorics, dp, greedy, math, number theory",3990
2189,C2,XOR-convenience (Hard Version),1800.0,"bitmasks, constructive algorithms, math",6250
2189,C1,XOR Convenience (Easy Version),1300.0,"bitmasks, constructive algorithms, math",13997
2189,B,The Curse of the Frog,1200.0,"constructive algorithms, greedy, math",15437
2189,A,Table with Numbers,800.0,"greedy, implementation",24453
2188,B,Seats,1000.0,greedy,21183
2188,A,Divisible Permutation,800.0,constructive algorithms,26034
2187,G,Many Cartesian Trees,3500.0,"greedy, sortings, trees",102
2187,F2,Al Fine (Counting Version),3500.0,"dp, trees",74
2187,F1,Al Fine (Maximizing Version),3100.0,"binary search, data structures, divide and conquer, trees",219
2187,E,Doors and Keys,3500.0,"brute force, data structures, dp",336
2187,D,Cool Problem,2600.0,"bitmasks, dp, math",646
2187,C,Jerry and Tom,2300.0,"data structures, dfs and similar, dsu, games, graphs, greedy, trees",1388
2187,B,Shortest Statement Ever,1800.0,"bitmasks, constructive algorithms, dp, greedy",5338
2187,A,Restricted Sorting,1300.0,"greedy, sortings",15993
2185,H,BattleCows 2,2500.0,"binary search, brute force, data structures, dp, greedy",693
2185,G,Mixing MEXes,1800.0,"data structures, implementation, math",3360
2185,F,BattleCows,1700.0,"data structures, divide and conquer, implementation",5071
2185,E,The Robotic Rush,1500.0,"binary search, greedy, implementation, two pointers",10314
2185,D,OutOfMemoryError,1100.0,"data structures, implementation, math, two pointers",20839
2185,C,Shifted MEX,900.0,"implementation, sortings",29221
2185,B,Prefix Max,800.0,greedy,41041
2185,A,Perfect Root,800.0,"constructive algorithms, math",43464
2184,G,Nastiness of Segments,1900.0,"binary search, data structures",2990
2184,F,Cherry Tree,1900.0,"dfs and similar, dp, graphs, trees",3951
2184,E,Exquisite Array,1800.0,"combinatorics, data structures, dsu, sortings",5836
2184,D,Unfair Game,1600.0,"combinatorics, dp, math",9576
2184,C,Huge Pile,1100.0,"binary search, dfs and similar, dp, graphs, math",22001
2184,B,Hourglass,1100.0,math,24265
2184,A,Social Experiment,800.0,math,38337
2183,I2,Pairs Flipping (Hard Version),3500.0,constructive algorithms,73
2183,I1,Pairs Flipping (Easy Version),3500.0,constructive algorithms,84
2183,H,Minimise Cost,3500.0,"binary search, dp, greedy, sortings",159
2183,G,Snake Instructions,3200.0,"constructive algorithms, greedy, interactive",223
2183,F,Jumping Man,2500.0,"brute force, combinatorics, dfs and similar, dp, trees",1134
2183,E,LCM is Legendary Counting Master,2100.0,"dp, math, number theory",2872
2183,D2,Tree Coloring (Hard Version),2100.0,"combinatorics, constructive algorithms, data structures, dfs and similar, greedy, implementation, trees",2509
2183,D1,Tree Coloring (Easy Version),1500.0,"constructive algorithms, dfs and similar, greedy, trees",8921
2183,C,War Strategy,1500.0,"binary search, greedy, math, two pointers",10743
2183,B,Yet Another MEX Problem,1100.0,"constructive algorithms, greedy",16234
2183,A,Binary Array Game,800.0,games,23736
2182,G,Short Garland,2800.0,"combinatorics, data structures, dfs and similar, dp, trees",356
2182,F2,Christmas Reindeer (hard version),2500.0,"bitmasks, brute force, combinatorics, data structures, greedy, math",1099
2182,F1,Christmas Reindeer (easy version),2300.0,"bitmasks, brute force, combinatorics, dp, math",1277
2182,E,New Year's Gifts,1800.0,"binary search, data structures, greedy, sortings, two pointers",5598
2182,D,Christmas Tree Decoration,1600.0,"combinatorics, dp, greedy, math",9024
2182,C,Production of Snowmen,1200.0,"brute force, combinatorics, dp",15624
2182,B,New Year Cake,800.0,brute force,23555
2182,A,New Year String,800.0,"constructive algorithms, greedy, implementation, strings",25462
2181,M,Medical Parity,1700.0,"dp, strings",3532
2181,L,LLM Training,2800.0,"math, string suffix structures",135
2181,K,Knit the Grid,3500.0,"2-sat, constructive algorithms, graphs, matrices",69
2181,J,Jinx or Jackpot,2300.0,"brute force, dp, math, probabilities",715
2181,I,Irrigation Interlock,3500.0,geometry,51
2181,H,Honey Cake,1200.0,"brute force, math, number theory",6689
2181,G,Greta's Game,2400.0,"binary search, dp, graphs, greedy, math",651
2181,F,Fragmented Nim,1600.0,games,3601
2181,E,Elevator Against Humanity,2900.0,"brute force, constructive algorithms, greedy, sortings",145
2181,D,Doorway,2000.0,"binary search, data structures, sortings",1376
2181,C,Cacti Classification,3200.0,"binary search, constructive algorithms, interactive, math",151
2181,B,Battle of Arrays,1400.0,"data structures, games, greedy",5800
2181,A,Alphabet City,1300.0,"binary search, math, strings",3769
2180,H2,Bug Is Feature (Conditional Version),3500.0,games,106
2180,H1,Bug Is Feature (Unconditional Version),3400.0,games,121
2180,G,Balance,3500.0,"bitmasks, combinatorics, implementation, math",135
2180,F2,Control Car (Hard Version),3200.0,"combinatorics, dp, matrices, probabilities",223
2180,F1,Control Car (Easy Version),2800.0,"combinatorics, dp, probabilities",406
2180,E,No Effect XOR,2300.0,"bitmasks, divide and conquer, dp, greedy, math",1751
2180,D,Insolvable Disks,1900.0,"data structures, dp, greedy, math",4267
2180,C,XOR-factorization,1900.0,"bitmasks, constructive algorithms, dp, greedy, number theory",6490
2180,B,Ashmal,800.0,"greedy, strings",24656
2180,A,Carnival Wheel,800.0,"brute force, number theory",25937
2179,H,Blackslex and Plants,2200.0,"bitmasks, data structures, dp, implementation, math",1313
2179,G,Blackslex and Penguin Migration,2200.0,"brute force, interactive, math",1218
2179,F,Blackslex and Another RGB Walking,2000.0,"communication, constructive algorithms, graphs, interactive, number theory, trees",2775
2179,E,Blackslex and Girls,1800.0,"constructive algorithms, geometry, math",5821
2179,D,Blackslex and Penguin Civilization,1300.0,"bitmasks, constructive algorithms, greedy, math",13599
2179,C,Blackslex and Number Theory,1100.0,"implementation, math, number theory, sortings",22400
2179,B,Blackslex and Showering,800.0,"dp, greedy, implementation",28464
2179,A,Blackslex and Password,800.0,"math, strings",34545
2178,I,Numbers or Fireworks,3300.0,"bitmasks, combinatorics, dp, graphs",219
2178,H,Create or Duplicate,3300.0,"bitmasks, graphs, number theory, shortest paths",312
2178,G,deCH OR Dations,2800.0,"bitmasks, data structures, dp, hashing, probabilities",594
2178,F,Conquer or of Forest,2200.0,"combinatorics, math, trees",1834
2178,E,Flatten or Concatenate,2000.0,"binary search, divide and conquer, interactive",3701
2178,D,Xmas or Hysteria,1700.0,"constructive algorithms, greedy, implementation, math",6738
2178,C,First or Second,1200.0,"dp, greedy, implementation",15795
2178,B,Impost or Sus,900.0,"dp, greedy, implementation, strings",21696
2178,A,Yes or Yes,800.0,"greedy, strings",25875
2176,F,Omega Numbers,2400.0,"bitmasks, combinatorics, dp, math, number theory",1498
2176,E,Remove at the lowest cost,2400.0,"data structures, dfs and similar, dp, dsu, greedy, implementation, trees",1288
2176,D,Fibonacci Paths,1800.0,"data structures, dp, graphs, sortings",5812
2176,C,Odd Process,1300.0,"greedy, sortings",15832
2176,B,Optimal Shifts,1000.0,"bitmasks, greedy, strings",23038
2176,A,Operations with Inversions,800.0,"greedy, implementation, math",29181
2175,B,XOR Array,1300.0,"constructive algorithms, math",12327
2175,A,Little Fairy's Painting,800.0,implementation,18828
2174,F,Mosaic Tree,2800.0,"combinatorics, dp, fft, math, trees",471
2174,E2,Game of Scientists (Version 2),3200.0,"binary search, chinese remainder theorem, dfs and similar, interactive, math",98
2174,E1,Game of Scientists (Version 1),3100.0,"chinese remainder theorem, constructive algorithms, interactive, math",135
2174,D,Secret Message,3400.0,"data structures, dp, greedy, trees",296
2174,C2,Beautiful Patterns (Hard Version),2500.0,"combinatorics, math, probabilities",1032
2174,C1,Beautiful Patterns (Easy Version),2400.0,"combinatorics, math, probabilities",1180
2174,B,Wishing Cards,1900.0,dp,4000
2174,A,Needle in a Haystack,1200.0,"greedy, strings, two pointers",14411
2173,F,Isla's Memory Thresholds,2600.0,"binary search, brute force, data structures, divide and conquer, math",571
2173,E,Shiro's Mirror Duel,2200.0,"constructive algorithms, greedy, interactive, probabilities, sortings",1548
2173,D,Taiga's Carry Chains,1900.0,"bitmasks, brute force, dp, greedy, math",3667
2173,C,Kanade's Perfect Multiples,1400.0,"brute force, constructive algorithms, greedy, number theory",12496
2173,B,Niko's Tactical Cards,1100.0,"dp, greedy, math",18228
2173,A,Sleeping Through Classes,800.0,"greedy, implementation",23880
2172,N,New Kingdom,2800.0,"constructive algorithms, graphs, implementation",164
2172,M,Maximum Distance To Port,1300.0,"graphs, shortest paths",5903
2172,L,Maximum Color Segment,2300.0,"dp, implementation",807
2172,K,Kindergarten Homework,2100.0,"implementation, strings",850
2172,J,Sliding Tiles,2300.0,"data structures, divide and conquer, dsu",570
2172,I,Birthday,2000.0,geometry,1091
2172,H,Shuffling Cards with Problem Solver 68!,2500.0,"hashing, string suffix structures, strings",302
2172,G,Gene Editor,3300.0,,67
2172,F,Cluster Computing System,1600.0,"graphs, greedy, math",3952
2172,E,Number Maze,1200.0,implementation,5963
2172,D,Divisor Card Game,3100.0,"combinatorics, dp",103
2172,C,Circles Are Far from Each Other,3100.0,"binary search, greedy",95
2172,B,Buses,1800.0,"greedy, sortings",2153
2172,A,ASCII Art Contest,800.0,implementation,14663
2171,H,Shiori Miyagi and Maximum Array Score,2400.0,"binary search, data structures, dp, sortings",1022
2171,G,Sakura Adachi and Optimal Sequences,2000.0,"bitmasks, combinatorics, greedy, math",2341
2171,F,Rae Taylor and Trees (hard version),1600.0,"binary search, constructive algorithms, data structures, dp, dsu, greedy, implementation, trees",7204
2171,E,Anisphia Wynn Palettia and Good Permutations,2000.0,"constructive algorithms, greedy, number theory",3678
2171,D,Rae Taylor and Trees (easy version),1400.0,"binary search, data structures, dp, dsu, greedy, implementation, trees",11692
2171,C2,Renako Amaori and XOR Game (hard version),1400.0,"bitmasks, games, greedy",11931
2171,C1,Renako Amaori and XOR Game (easy version),1100.0,"bitmasks, games, greedy",19349
2171,B,Yuu Koito and Minimum Absolute Sum,900.0,math,27239
2171,A,Shizuku Hoshikawa and Farm Legs,800.0,"brute force, math",37393
2170,F,Build XOR on a Segment,2600.0,"bitmasks, dp",788
2170,E,Binary Strings and Blocks,2100.0,"combinatorics, data structures, dp",2340
2170,D,Almost Roman,2200.0,"constructive algorithms, greedy, implementation",1697
2170,C,Quotient and Remainder,1300.0,"binary search, greedy, two pointers",11323
2170,B,Addition on a Segment,1200.0,"greedy, math",14397
2170,A,Maximum Neighborhood,800.0,"bitmasks, brute force, greedy, implementation, math",20052
2169,F,Subsequence Problem,2700.0,"combinatorics, dp, fft, math",339
2169,E,Points Selection,2400.0,"dp, greedy",1062
2169,D2,Removal of a Sequence (Hard Version),2100.0,"binary search, divide and conquer, greedy, implementation, math, number theory",2293
2169,D1,Removal of a Sequence (Easy Version),1500.0,"binary search, implementation, math, number theory",8614
2169,C,Range Operation,1300.0,"dp, greedy, math, two pointers",12767
2169,B,Drifting Away,1100.0,"greedy, implementation",16195
2169,A,Alice and Bob,900.0,"greedy, implementation",19188
2167,G,Mukhammadali and the Smooth Array,1600.0,"data structures, dp",11091
2167,F,"Tree, TREE!!!",1600.0,"dfs and similar, dp, math, trees",7187
2167,E,khba Loves to Sleep!,1600.0,"binary search, data structures, geometry, greedy, implementation",9129
2167,D,Yet Another Array Problem,1000.0,"brute force, implementation, math, number theory",30372
2167,C,Isamatdin and His Magic Wand!,800.0,"constructive algorithms, greedy, implementation, sortings",36207
2167,B,Your Name,800.0,"sortings, strings",52197
2167,A,Square?,800.0,"math, sortings",58921
2166,B,Tab Closing,900.0,math,18226
2166,A,Same Difference,800.0,"brute force, greedy, strings",22991
2165,F,Arctic Acquisition,3500.0,"data structures, greedy",194
2165,E,Rainbow Branch,3200.0,"constructive algorithms, dp, greedy, trees",264
2165,D,Path Split,2500.0,"graph matchings, greedy",901
2165,C,Binary Wine,2000.0,"bitmasks, greedy, math",3605
2165,B,Marble Council,1900.0,"dp, math, sortings",4701
2165,A,Cyclic Merging,1300.0,"constructive algorithms, greedy",14312
2164,H,PalindromePalindrome,3400.0,"data structures, strings",45
2164,G,Pointless Machine,3300.0,"constructive algorithms, graphs, interactive, trees",206
2164,F2,Chain Prefix Rank (Hard Version),2900.0,"binary search, combinatorics, data structures, dfs and similar, dp, graphs, math, trees",430
2164,F1,Chain Prefix Rank (Easy Version),2600.0,"combinatorics, dfs and similar, dp, math, trees",676
2164,E,Journey,2300.0,"data structures, dfs and similar, dsu, graphs, greedy",1614
2164,D,Copy String,1800.0,"greedy, implementation, strings, two pointers",5119
2164,C,Dungeon,1400.0,"binary search, brute force, data structures, greedy, sortings",10892
2164,B,Even Modulo Pair,1000.0,"brute force, math, number theory",18479
2164,A,Sequence Game,800.0,"brute force, sortings",21041
2163,E,Plegma,2700.0,"bitmasks, combinatorics, communication, interactive",639
2163,D2,Diadrash (Hard Version),2500.0,"binary search, interactive, math, sortings",1512
2163,D1,Diadrash (Easy Version),2100.0,"binary search, brute force, divide and conquer, implementation, interactive",2744
2163,C,Monopati,1500.0,"brute force, combinatorics, dp, math, two pointers",9091
2163,B,Siga ta Kymata,1700.0,"constructive algorithms, greedy, implementation, math",9179
2163,A,Souvlaki VS. Kalamaki,800.0,"brute force, greedy, math, sortings",19659
2162,H,Beautiful Problem,2900.0,dp,316
2162,G,Beautiful Tree,2200.0,"constructive algorithms, math, probabilities, trees",2817
2162,F,Beautiful Intervals,2100.0,"constructive algorithms, greedy",2930
2162,E,Beautiful Palindromes,1600.0,"constructive algorithms, greedy, schedules",9393
2162,D,Beautiful Permutation,1400.0,"binary search, interactive",12426
2162,C,Beautiful XOR,1100.0,"bitmasks, constructive algorithms, greedy",21431
2162,B,Beautiful String,1000.0,"brute force, constructive algorithms",28023
2162,A,Beautiful Average,800.0,"brute force, greedy",41775
2161,H,Cycle Sort,3500.0,data structures,67
2161,G,Bitwise And Equals,3500.0,"bitmasks, greedy",92
2161,F,SubMST,3000.0,"combinatorics, graphs, trees",349
2161,E,Left is Always Right,2400.0,"combinatorics, implementation, math",785
2161,D,Locked Out,2100.0,"binary search, data structures, dp, greedy",2792
2161,C,Loyalty,1200.0,"constructive algorithms, greedy, sortings, two pointers",12647
2161,B,Make Connected,1700.0,"brute force, implementation",5400
2161,A,Round Trip,800.0,"games, greedy, implementation, math",15759
2160,C,Reverse XOR,1300.0,bitmasks,15232
2160,B,Distinct Elements,1100.0,"greedy, math",17841
2160,A,MEX Partition,800.0,math,22523
2159,F,Grand Finale: Snakes,3500.0,"binary search, interactive, ternary search",136
2159,E,Super-Short-Polynomial-San,3500.0,"math, meet-in-the-middle",212
2159,D2,Inverse Minimum Partition (Hard Version),3200.0,"dp, greedy, math",397
2159,D1,Inverse Minimum Partition (Easy Version),2500.0,"binary search, brute force, dp, geometry, greedy, math, two pointers",1052
2159,C,Twin Polynomials,2300.0,"combinatorics, graph matchings, math",1780
2159,B,Rectangles,2100.0,"brute force, data structures, dp, dsu, greedy, implementation, two pointers",2389
2159,A,MAD Interactive Problem,1700.0,"constructive algorithms, implementation, interactive",8230
2158,F2,Distinct GCDs (Hard Version),3000.0,"combinatorics, constructive algorithms, graphs, math, number theory",255
